observed,location_details,county,state,season,latitude,longitude,date,number,classification,temperature_high,temperature_mid,temperature_low,moon_phase,summary
"Today me, my mother and my son were coming back from a doctors appointment for my son. We were driving along a road that we have been many times. It's a nice little stretch of road with a great view. The land is beautiful with lots of natural Florida woods with swamp areas. There are also many orange groves in this area. It's not uncommon to see turkeys, hogs and occasional deer. The pasture land has cows on it from time to time. When this sighting happened there were no cows around. It was about 12:15 pm. The weather was over cast and it was going to rain at any minute. No other cars around. We passed one after the sighting down the road when we turned around to go back. We have had a ton of rain in this area lately. As we were traveling down the road we came up on this swampy area in a very large oak hammock. My 17 yr old son was the first to ask if me and my mother saw that? My 72 year old mother said yes but what was it? I said I saw it too...we keep driving for about 2 minutes we said nothing then my mother said turn around and go back. We all saw something and we need to go back and look. So I turned around and went back. But it was not there as far as we could see. We pulled up to the area and just sat there. All of us trying to figure out what we saw. We all saw a human like figure standing out in the middle of the marshy swampy area up to it's waist in water. The figured appeared to be a dull brown color. It was wide across the shoulders with hair and looked like moss hanging from it. It was standing up with it's long limbs away from it's body. The head was kinda down. The shape of the head was different. My oldest son described the head as different from a human. We are not sure what exactly it was doing. In the past we have seen cows out in this marshy swampy area. My Mother was trying to justify what she saw hating to admit that it was beyond strange. But she did admit at how very strange it was. I turned the truck around and we headed home. We talked about it a little more and then just let it die. We had a very stressful morning after coming from an appointment to see if my son had cancer. He did not and we were all so dazed seeing that was over kill. Very emotional day.",Old Lake Wales Road and 653 runs into Thompson Nursery Road.,Polk County,Florida,Summer,27.93991,-81.67247,8/2/17,57991,Class B,87,80.2,73.4,0.34,Rain in the afternoon.
"While driving through the Ocala National Forest in Fl on Highway 19 a couple of years ago, I look from my car window to the right and saw what I believe was a big foot looking back at me.  It was in a cleared area that had probably been controlled burned at some point, so I clearly could see a figure covered with dark brown fur from head to toe.  It stood about seven feet tall and had the shape of a man, not a monkey.  It was broad in the shoulders and narrower at the waist.  It gazed at me half behind a tree, not shy or fearful, but as if it was in its own element and it was noticing me driving by on the highway.  It moved behind the tree out of my sight as I drove by.  There is never much traffic on this road thru the forest. I never saw it again on any trips.",,Putnam County,Florida,Spring,29.49577,-81.74579,6/7/10,35529,Class A,93.61,81.825,70.04,0.83,Humid throughout the day.
"My husband and I were driving home on I-75, the day after Christmas. Our car just started to accelerate after being in traffic for over an hour due to an accident. My husband was watching the cars closely and I was observing the environment on my left side, as I normally do on a road trip. I looked over to my right and saw something large and black about a football field distance away. At first it looked like it wasn't moving, but I kept watching and after a few seconds I saw an arm extend and it move forward towards the woods. My first instinct was to think it was a bear, but then as I continued to fixate on the animal, I realized it had very long black hair and was extremely broad in the shoulder/lat area. I continued to watch it move forward  very slowly and realized it was in a crouched position but looked as flat and large as the top of a car, from my view. The whole experience was very surreal to me and I think I'm still in shock. The whole length of my viewing time was approximately 5-7 seconds.","Headed N on I-75, right side, between exit #179 and #191.",Sarasota County,Florida,Winter,27.10589,-82.30699,12/25/12,39014,Class B,76.17,68.63,61.09,0.42,Mostly cloudy overnight.
"The witness does not have a computer, so I asked the witness to fill out our report form by hand. This following is what she wrote: I was driving home toward Arcadia on HWY 72 around 8:30 pm. I thought I first saw a deer to my right, but then I realized it wasn't a deer. It was a bigfoot and it was huge! I had to hit the brakes, it was so close to the car. It ran across the street and looked at me! It crossed in two steps. It had long dark brown hair. The hair was not shaggy, but smooth like a dog. It ran so close to my car, at my car, it seemed as if it was trying to purposely cross before me. Once I passed by it, I stopped the car and got out. I didn't see anything, but smelled a musky smell. I called my kids while I stood there on the road.",Just over the bridge,Sarasota County,Florida,Fall,27.19995,-81.98468,9/9/14,47021,Class A,89.77,81.32,72.87,0.52,Rain in the evening.
,,Sarasota County,Florida,Spring,27.00061,-82.39019,3/27/21,69452,Class A,83.12,75.315,67.51,0.47,Clear throughout the day.
I was driving on Markham Park Woods road at 5 am and saw a bigfoot on the side of the road.,,Seminole County,Florida,Winter,28.42146,-81.23721,1/31/17,59236,Class A,69.82,56.99,44.16,0.12,Clear throughout the day.
"My son and I were out fishing one night in July of 2011 at about 1am on friday night at the Matanza bridge back waters, this is on A1A in Florida. at about 2:00 am, we heard this really weird sound of howling and grunts so we sat there for about 25 minutes or so and the sound kept getting louder and closer to where we were parked. My son said to me dad did you see that, I said what and he said something really big was approaching where we were parked sitting in the car. So he winded up the window and said we better leave, so i said no just wait a little bit longer and lets see if it will come back. after about another 10 minutes or so the howling began again but this time it seemed to be more than one howl, as if there was a reply to the deeper howl. So I told him to start the car and lets get out of the area. Well he did so and we were leaving the area and after we traveled about 100 yards or so there it was one of the biggest Bigfoots right in front of us. It was about 9 feet tall really hairy and walking with a slight crouched posture, It was headed East to the ocean. I saw it briefly as we passed to where it crossed the road but it was moving really fast, not running just really long strides. It looked back briefly and went under the bridge and out to the ocean.",It was between two canals that lead to the ocean,St. Johns County,Florida,Summer,29.83863,-81.2299,7/2/11,31745,Class A,85.93,78.06,70.19,0.04,Humid throughout the day and mostly cloudy until evening.
"Just last Saturday, February, 23rd, I was in Twelve Mile Swamp Conservation Area which is just north of the St. Augustine, FL Airport, bordered on the north by International Golf Parkway and running from Rte 1 on the east border to Rte 95 on the west. I had driven about 3 miles from Rte 1 west bound on International Golf Parkway to a trail entrance. I drove southward about 1.5 miles into the area then east about 1 mile when the road I was on ended at a cross road where several large pieces of logging machinery were parked. I had been knocking, hooting, whistling, talking for about 45 minutes out in the open, right in this intersection when I heard sticks breaking from something walking towards me in the woods. As it got nearer I heard several heavy, bipedal footsteps, almost stomping, coming very close to the wood line bordering the road. Then loud thrashing and intentionally loud moving about from just within the treeline, in the trees and behind 6 foot reeds/brush just on the other side of the drainage ditch between the road and woods. The noise was only 20 yards from me but I couldn't see anything as I stood on the edge of the road and peered in. Whatever it was, was very big and it sounded as if it was about to break into the open. I could not smell anything, nor had I felt I had been being watched. It approached quickly and with determination. I became nervous and walked back to my car about 50 ft. behind me. I was so sure something would break through the brush that I got in my car and turned it around for a possible quick getaway, back the way I had come. When I got out quickly and walked back to near the noise it was gone. I remained probably an hour trying to draw whatever it was back, but nothing. The reeds/brush were fairly thick but not super thick like a line of Palmetto. I was confused as to why I couldn't see anything or even brush moving. But the noise was loud and obvious and very close. Something was upset about my presence.",,St. Johns County,Florida,Winter,29.96828,-81.4048,2/23/13,40019,Class B,82.39,72.465,62.54,0.43,Rain overnight.
hi my name is eric and i felt i needed to write this.me and 3 friends were camping in richlom wild life management area on labor day weekend we were just sitting around the fire when all of the sudden i noticed it got very quiet and all the bugs disappered then we haerd what sounded like a tree being up rooted so we grabbed the spotlight and started searching what it was we found a good sized pine tree half pushed over then we sat back down and as soon as we did we haerd a very very odd growl then we stood back up and started panning the spotlight when we saw a very hairy 11ft object we stood motionless as we looked at it then it darted off and then thats when i left camp site and went home my number is *** *** **** if you have any questions thank you.,take hwy 50 west till baylake on left drive till you hit the woods drive till you hit the 4 way take a right follow till 2nd camp on left.,Sumter County,Florida,Summer,28.50566,-81.97483,9/5/10,28237,Class A,89.21,82.3,75.39,0.9,Humid and mostly cloudy throughout the day.
"Going on CR48 in Bushnell heading to CR 575, on the corner at the Wahoo Baptist Church he was next to wild pigs, trying to look like the rock next to him. He was bent over like a big round rock. Had a lot of hair.. and was very large.....","Bushnell Florida, on 48 on the curve at Wahoo Church on the right hand side where the woods are, and wild pigs and deer. Also there's an old shed next to the curve.",Sumter County,Florida,Fall,28.69205,-81.7089,10/15/12,43381,Class B,85.81,76.945,68.08,0.01,Mostly cloudy until evening and humid throughout the day.
"Shaking of trees immediately upon getting out of truck. We were going hunting. Heard some knockings off in the distance. Walking down the trail, we could smell a foul smell (later we found the source which was a dead hog, couldn't tell if something had killed it and ate it or if it was shot and scavenged upon). Later while hunting we climbed up a small hill and I spotted something behind a large tree stump. I didn't say anything and the other witness pointed it out immediately too. We left the woods then.",Head south on 471. Take a left onto center grade road. Midway down that road off the main road on the left a trail. it is in Richloam wildlife management area.,Sumter County,Florida,Fall,28.45786,-82.04508,11/11/12,36915,Class B,79.76,69.995,60.23,0.92,Partly cloudy until afternoon.
"I live in The Villages, Florida which is a community encompassing three counties (Sumter, Lake, and Marion).  Behind my house there is one of those high tower power line paths.  On the other side, there are more homes.  The area is urban, but close to wooded areas.  One night in early to mid-December my partner and I were sitting on our lanai (as we do nightly).  It was about 10:00 p.m. or so.  Suddenly the quiet was broken by a loud cry which sounded like it was coming from close to the street.  We looked at each other and asked each other jokingly, “Is that Bigfoot?”  It did not sound like any human we had ever heard. We listened and no more sounds.  The next night, I was sitting on the lanai, my partner had not yet come out, about 9:00 p.m.  I stopped the sound on my computer and just then I heard, distinctly, two rocks clack together at the end of my short backyard, close to where my neighbor to the left and I share a property line close.  There are tall, 6-7 foot, plants at the end of my property. I sat there for maybe 15 minutes listening and heard nothing more.  A few days later, for two days, my partner and I came out and smelled a strange, unknown, odor.  My dog didn’t make any noise but sniffed the air.   It wasn’t a bad odor, just unusual.  A few days later, I was again sitting on the lanai, about 11:00 p.m. and to my left I heard a stone hit the side of my home which made it vibrate.  I sat quietly for a few minutes and went back to my business.  An hour later, when I got ready to go inside, I heard what sounded like 4-5 pebbles hitting the side of the lanai where I was standing.  About 3 nights ago, my partner and I were sitting on the lanai again, this time it was lightly raining.  It was about 11:30 p.m.  Suddenly we heard a barrage of pebbles hit the side of the lanai.   My partner said, those were stones.  I was unsure if it could have been the rain.  A few moments later, another barrage of pebbles hit our lanai.  My dog got up and looked.  It was not the gentle rain we were hearing.  After the second time, we didn’t hear anything else.  I don’t know if this is even possible to be bothered by a Bigfoot in The Villages.  We are the only ones who sit on our lanai after dark in this area.  What do you think?  I do not want this information posted to your website until I hear from the BFRO to see if there is a possibility that our suspicions can possibly be true.  Believe me, this is truly bewildering.",,Sumter County,Florida,Winter,28.94296,-81.97549,12/13/13,38923,Class B,72.44,65.12,57.8,0.39,Clear throughout the day.
"I was out behind my house smoking, walking my dogs around 6:30 pm, just before dark. My back yard is grass for about 100 yards then it is medium to heavy woods (about 4 acres total). My dogs just froze in place looking towards the woods. I was asking them whats wrong, what do you see? They stayed still, gazing into the woods for about a minute. I also looked towards the woods but saw nothing but trees and I could make out a large tree stump, then they both ran from me back into the house through a the doggy door on the North side of my house. When looking towards the woods they are to the East of me. I kept staring at the woods looking side to side while still seeing nothing. My cigarette was done, I tossed it onto the ground and went to step on it when I noticed some movement about 20 yards in the woods. It was towards the tree stump...I watched as this stump, which was about 3 to 4 foot tall stand up and double its size... I was in shock, it seemed like it was not real. I stayed motionless while watching this thing, which clearly was NO tree stump start to walk deeper into the woods, heavy steps each time it walked, it was between 7' or 8 feet tall, had hair/fur covering it. The way I could tell this is because it was walking in a zig zag motion, purposely I guess to try and hide from me behind trees. The sun would only shine in spots through the top of the trees and I could see the hair/fur shine maybe every 5 seconds or so/ This thing made noise/sound only twice from itself, once when it first rose up, I interpreted it as a ""Damn now I have to move"" moan/grunt... second when he/she looked at me right before it got to the gas line road (which is a dirt, right of way road for the gas company) almost to tell me, you stay where you are, don't follow me and I had no plans on that.... I went back out the next day, dogs refused to go with me, to see if there was something it was doing in the woods and found nothing. Also went to the dirt road looking for prints but found only a part of one because of deer and other animals walking over them. I believe this thing, and others follow the deer here for food, the [Suwannee River] State Park has a no Hunting buffer I think that is 5 or 10 miles out from the park. The deer know this and I am sure if these things have been here for a while also know that people don't hunt around here.. I have been away from this house do to selling it but recently purchased it back. Only one of my dogs is still with me and will still not walk in the woods like we used to... This thing had medium to dark reddish/brown hair/fur, when it snarled/growled at me. I saw fingers, no hair on the palms because I could see skin, no facial hair. It did not stink as bad as I read about. It smelled more like wet dog and pine sap..I have been back here about 3 weeks but see no signs of this thing but did hear its growl two nights ago, I was on my front porch that faces west, smoking before going to bed. My dog was laying by my side. What ever it was scared my dog and me also. It sounded like an owl at first but turned into a growl at the end.  Weird... I will wait to hear from you if you would like to know more.",It's my land... I am here when i'm not working.,Suwannee County,Florida,Winter,30.37369,-83.1736,10/15/11,49326,Class A,85.53,70.47,55.41,0.62,Clear throughout the day.
Me and my buddy were out in the woods hunting in Pierson Florida on ninemile rd we were driving out and I noticed something big and brown in the ditch on the side of the road crouching down then it stood up and walked back and fourth across the road then crouching back down we know for a fact it wasn't human it was about nine feet tall.,"From the town of Peirson, go north on County HWY 3. Turn left on 9 Mile Point Road. Turn right on Willow Cove Road. The hunters entered the woods at the end of the road.",Volusia County,Florida,Fall,29.28971,-81.52609,10/22/11,32203,Class A,74.51,62.09,49.67,0.84,Clear throughout the day.
"I was out in the woods with two of my sons (16 & 18) and as we were leaving I saw some movement didn't think much of it. As we got up the trail by where I saw movement one of my sons noticed some foot prints, that were larger than normal and right next to some deer tracks. Then my other son described exactly what I saw even though I never described what I saw. Earlier in the day we saw a strange ""footprint"" in the mud also.","""twin lakes"" off the power lines",Volusia County,Florida,Spring,28.91605,-81.32394,5/28/12,35574,Class B,84.61,78.945,73.28,0.25,"Rain starting in the afternoon, continuing until evening."
Driving through  Florida and saw two large eyes about 6 feet off the ground. He was hiding behind a tree. We saw it when I turned on my high beams around midnight. We didn't get a good look at it but it was big.,Down by a post office is a sign saying left to cassadaga but there is a way to just keep going straight and we missed the cassadaga turn so we ended up going straight to the location.,Volusia County,Florida,Summer,28.97672,-81.23386,7/27/12,36112,Class B,95.08,85.45,75.82,0.3,"Humid throughout the day and partly cloudy starting in the afternoon, continuing until evening."
"I live in Lake Helen, Florida and we have had several incidents that I didn't put together until I ran across the story of the Cassadaga sightings. My daughter and I share our home with 2 golden retrievers and it's not uncommon for my female to not want to go outside to do her nightly business for no apparent reason. Now, maybe there is. My daughter and I were in my bedroom around 9pm one night, when something slapped the side of the house so hard it shook. We looked around outside, from inside and saw nothing. 3 days later at around 3 in the morning, my daughter in her bedroom (directly above my bedroom, sharing the outside wall) woke up to a loud, house shaking slam followed by a loud growl. Her feet hit the floor upstairs at the same time mine hit downstairs...We assumed a bear, but never could figure out why a bear would hit the house and how it could hit hard enough to shake the house, waking us both up.",I-4 to Lake Helen exit 118...five minutes due east,Volusia County,Florida,Winter,28.96416,-81.21989,2/24/13,40901,Class B,72.89,68.145,63.4,0.46,Mostly cloudy throughout the day.
"A friend and I decided to go boating one Saturday morning and went to Scotts landing in Nassau County, Florida on the St Marys River. We rented a boat and headed west up the St Marys River into Georgia.  We traveled west about 15 miles where we went around a bend and our motor must have hit something in the water and shut off.  We drifted to the bank on the Georgia side of the river where we tried to start the boat with no success. This was about 3:30 pm with about 3 hours of light left as it is getting dark about 6pm. There was a fishing camp on the Florida side of the river with no one there so we paddled over to that side where we settled in and built a campfire to spend the night as our phones had no service. We settled by the fire and talked and had a good time. Around 12:30AM we began to hear something moving thru the woods from far off. We could tell it was moving towards us because the breaking branches and snapping twigs and crunching leaves were getting louder. When it got down to the rivers edge across from us we heard grunting and growling as well as stomping on the ground that was extremely loud and a deep base thud. I got up and walked down to the rivers edge and started shining the opposite bank. As I was shining I could hear something moving thru the brush towards me. As it got directly across from me I saw it thru the brush and could see a shoulder and head moving left straight across from me. I could see it moving for about 5 to 6 feet before it came to a tree where it stepped out from behind the tree and looked directly at me. I shined the light in its face and saw two red eyes and a head and right shoulder. When the light hit it in the face it turned its head back to the direction it came from and took off back that way. It seemed mad cuz it started stomping and growling and breaking limbs again. It continued to raise hell for another hour to hour and a half before it went quiet. Of course we did not sleep that night and at the first light we got in the boat and started rowing towards home and made it about 5 miles where we were picked up by the Nassau County police boat and towed another 10 1/2 miles back to Scotts Landing.  It was a truly amazing experience for me, my buddy however didn't agree with me. He said he was frozen with fear and will never return there. I myself would love to return and search for the creature.","I have found the location on google earth, we were at 30degrees 42'18.54"" N 82 degrees 02'16.20""W elevation 11ft",Nassau County,Florida,Winter,30.71004,-82.0443,12/8/12,39080,Class A,70.81,65.37,59.93,0.83,Foggy starting in the evening.
"I was on my way back from a delivery in okeechobee on I 95 near mile marker 158 in when i noticed people hitting their brakes and pointing out to the right,upon looking i saw an 8 foot tall hairy creature whose arms were past its waist in lenghth,standing upright but shoulders were hunched over,it was taking small strides in between the cypress trees behind the fence on the side of the road,about fifteen feet into the trees.I couldnt see it face,but its whole body was black hair,it wasnt thin by any means.I didnt see any features that would have made me feel that it was female..It was about 3:15 P.M on Friday the 21st of January 2012.",I was traveling north on I 95,Indian River County,Florida,Winter,27.78042,-80.55011,1/21/12,32426,Class A,76.68,63.8,50.92,0.95,Clear throughout the day.
"Late at night as my family and I were setting off fireworks, we heard something growl loud enough for all of us to hear. My daughters boyfriend, a policeman said he thought it was a ""bear"" just in the treeline off to our left which was very close. Since we do have black bears, I picked up my grandbaby and we all stepped back as my husband and daughter's boyfriend had a look around. Something crashed away into the woods and was gone. The crazy thing is that the sound was nothing like we had ever heard before and we've been here a long time. I might add that we recently completely fenced the area which makes it even more odd. Accessing the yard would be hard for a bear now. Our dogs did not bark but, we had been setting off fireworks, so, I kind of let them off the hook! This occurred again about a month later in August. I had stepped out on the back porch to get a soda from the refrigerator. I felt the hair on my neck stand up and about that time, I heard the same low growling noise straight in front of me that we had heard in July. Then, I heard rustling and what sounded like someone running into or hitting the side of our wooden shed out back very loudly. I yelled to my husband and ran out behind the shed with a spotlight. I saw nothing, and there was no noise of something running away. The woods are thick there so, someone or something would only have to stand a few feet away to disappear. The dogs finally decided to bark when I yelled at my husband, but then, they are kind of lazy and could have been sleeping. Amazingly enough, they are always manage to be awake long enough to eat.","From Deland, FL go W on SR 44 across the St. Johns River. Take first right on CR 42. Travel 3 miles to Lake Mack and turn left. Turn right on Bear Lake.",Lake County,Florida,Summer,28.98491,-81.43248,7/4/11,31153,Class B,91.52,82.395,73.27,0.12,Humid throughout the day and partly cloudy starting in the afternoon.
